# TUM trajectory format
# timestamp x y z qx qy qz qw
1756718662.634145 0.0 0.0 0.0 0.9999706257696256 -2.1070028309910575e-05 0.007059766736818459 0.0029844342142440537
1756718662.644369 0.0 0.0 0.0 0.9999713462246572 0.00020638095042333887 0.0069731707799821786 0.002939221975844455
1756718662.654513 0.0 0.0 0.0 0.9999717254271303 0.0003375517993284195 0.006921191189004637 0.0029208761692198033
1756718662.664631 0.00037276326455546203 -0.0008708129958332469 0.0 0.9999712603057421 0.00024075732364564254 0.006947115219901416 0.003026249919992958
1756718662.674839 0.00037276326455546203 -0.0008708129958332469 0.0 0.999970960501921 1.3237658658055958e-05 0.006955155983881544 0.0031150895444176756
1756718662.685013 0.00037276326455546203 -0.0008708129958332469 0.0 0.9999708614852928 -0.0002139244430023484 0.006945713292878692 0.0031602980155651587
1756718662.695249 0.00037276326455546203 -0.0008708129958332469 0.0 0.9999706484454334 -0.00037083227859007557 0.006988864927934656 0.0031177713289881454
1756718662.705463 0.0 0.0 0.0 0.9999707911985285 -0.0003268000279572104 0.006997747325955286 0.0030563841206137196
1756718662.715617 0.0 0.0 0.0 0.9999704215821076 -0.00015230031661134612 0.007068095765786082 0.0030289912118424338
1756718662.725816 0.0 0.0 0.0 0.9999707405536432 1.3633194431166937e-05 0.0070249659465387365 0.0030278216896606107
1756718662.735972 0.0 0.0 0.0 0.9999706624999402 0.00012714632752443123 0.0070427599592832865 0.003009568972140783
1756718662.746161 0.0 0.0 0.0 0.9999701830219901 5.6674233526190417e-05 0.007077459864361536 0.0030885946427597986
1756718662.756347 0.0 0.0 0.0 0.9999702468569678 -0.0002053782652633457 0.007041734737578548 0.0031428001000401032
1756718662.766544 0.0 0.0 0.0 0.9999706782897883 -0.00039713963061732715 0.006971320126362775 0.003144127298706221
1756718662.776808 0.0 0.0 0.0 0.9999708083622214 -0.0004577644639021425 0.00697988641459985 0.00307474563831432
1756718662.786974 0.0 0.0 0.0 0.9999709109840565 -0.0003091986270209092 0.006989079674666833 0.0030388068754668264
1756718662.797160 0.0 0.0 0.0 0.9999707754378984 4.872001970500363e-06 0.007016213175144327 0.003036609799258754
1756718662.807383 0.0 0.0 0.0 0.999970972068497 0.0002056241295611935 0.006981918747035115 0.003043936548653588
1756718662.817560 0.0 0.0 0.0 0.9999708824739497 0.0002581473384213235 0.007008248286643065 0.0030086575369749654
1756718662.827678 0.0 0.0 0.0 0.9999703304633095 0.00017048784471137922 0.0070778012917439735 0.003035433390652074
1756718662.837890 0.0 0.0 0.0 0.9999710504358276 -9.942526243129222e-05 0.0069984475756330175 0.002984985161763906
1756718662.848115 0.0 0.0 0.0 0.9999720078153839 -0.00022093030603736842 0.006875922923782495 0.0029421861626978355
1756718662.858294 0.0 0.0 0.0 0.9999724907129259 -0.00029920335693925306 0.006805883203198438 0.0029339816909571426
1756718662.868580 0.0 0.0 0.0 0.999972645132567 -0.00022079975856602308 0.00677120028343362 0.0029683464699504568
1756718662.878645 0.0 0.0 0.0 0.9999715018752156 7.500121410950483e-05 0.006911708421110496 0.003036132234490812
1756718662.888808 0.0 0.0 0.0 0.9999701022749701 4.7762560689655696e-05 0.007077434163865471 0.0031148355622545964
1756718662.898991 0.0 0.0 0.0 0.9999694546941034 -1.3656528094035453e-05 0.007164507583811315 0.0031239915746347196
1756718662.909117 0.0 0.0 0.0 0.9999698366360231 -0.0002050568189062962 0.007137742880290627 0.0030555517343234797
1756718662.919230 0.0 0.0 0.0 0.9999718289173926 -0.0002991381325160523 0.006928071126444253 0.0028729285493535213
1756718662.929395 0.0 0.0 0.0 0.9999725026220047 -0.00017684663206584826 0.0068237005951304565 0.0028982469428380613
1756718662.939627 0.0 0.0 0.0 0.9999734027771113 -1.9392077633895003e-05 0.006693259611895921 0.002897177605941976
1756718662.949771 -0.0013921269051648817 0.00043446586487365266 0.0 0.9999724668751137 0.0001976541052799244 0.006772455154061038 0.003026594743404682
1756718662.959966 -0.0013921269051648817 0.00043446586487365266 0.0 0.9999712787923898 0.00021395459414428762 0.006894701925184578 0.0031398883908998255
1756718662.970126 -0.00037276516151160867 0.0008708174273162337 0.0 0.9999698515405165 9.083861606115306e-05 0.007077577223745999 0.0031930642062204563
1756718662.980327 -0.00037276516151160867 0.0008708174273162337 0.0 0.9999691486786806 3.84670284287535e-05 0.007199577332596661 0.003141066276682364
1756718662.990575 0.0 0.0 0.0 0.9999699290045705 -9.106858448070025e-05 0.007164276597395365 0.0029674793922259473
1756718663.000722 0.0 0.0 0.0 0.9999724268380361 7.647715426919626e-05 0.006859335470323185 0.002844157484906072
1756718663.010874 0.0 0.0 0.0 0.9999732879364344 0.00011169656129289084 0.006728539579085151 0.002852664124636604
1756718663.021123 -0.0013921269051648817 0.00043446586487365266 0.0 0.9999728242651029 0.0001368188707584821 0.0067286358338205085 0.0030095633713128653
1756718663.031248 -0.0013921269051648817 0.00043446586487365266 0.0 0.9999720454888074 4.909341486107528e-06 0.0067893273273728376 0.0031326109351105967
1756718663.041446 -0.00037276516151160867 0.0008708174273162337 0.0 0.9999709379960074 -0.00011790656904980453 0.006937290235289944 0.0031596306140955336
1756718663.051620 -0.00037276516151160867 0.0008708174273162337 0.0 0.9999695160927075 -4.853478600638967e-05 0.007155672151593585 0.003124241627977292
1756718663.061934 0.0 0.0 0.0 0.9999693411540362 0.0001089789864310623 0.0072172379829385114 0.003035844436225555
1756718663.072024 0.0 0.0 0.0 0.9999705265774013 0.0003281187398054717 0.0070782522606307584 0.0029557840824759774
